The Usual Suspects (1995) ,8.5,1h 46min,10 May 1996,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
Seppuku (1962) ,8.6,2h 13min,16 September 1962,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
The Lion King (1994) ,8.5,1h 28min,29 October 1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
The Pianist (2002) ,8.5,2h 30min,3 April 2019,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
Back to the Future (1985) ,8.5,1h 56min,9 December 1986,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
Terminator 2: Judgment Day (1991) ,8.5,2h 17min,24 August 1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
American History X (1998) ,8.5,1h 59min,21 September 1999,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
Modern Times (1936) ,8.5,1h 27min,25 February 1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Psycho (1960) ,8.5,1h 49min,24 May 2020,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
Gladiator (2000) ,8.5,2h 35min,1 September 2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
City Lights (1931) ,8.5,1h 27min,7 March 1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
The Departed (2006) ,8.5,2h 31min,31 October 2007,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
The Intouchables (2011) ,8.5,1h 52min,13 July 2012,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
Whiplash (2014) ,8.5,1h 46min,20 February 2015,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
The Prestige (2006) ,8.5,2h 10min,20 October 2006,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Hotaru no haka (1988) ,8.5,1h 29min,16 April 1988,A young boy and his little sister struggle to survive in Japan during World War II.
Once Upon a Time in the West (1968) ,8.5,2h 45min,24 September 1969,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
Casablanca (1942) ,8.5,1h 42min,23 January 1943,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Nuovo Cinema Paradiso (1988) ,8.5,2h 35min,17 November 1988,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Rear Window (1954) ,8.4,1h 52min,September 1954,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
Hamilton (2020) ,8.6,2h 40min,3 July 2020,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Alien (1979) ,8.4,1h 57min,6 December 1979,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
Apocalypse Now (1979) ,8.4,2h 27min,15 August 1979,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Memento (2000) ,8.4,1h 53min,20 October 2000,A man with short-term memory loss attempts to track down his wife's murderer.
The Great Dictator (1940) ,8.4,2h 5min,7 March 1941,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Raiders of the Lost Ark (1981) ,8.4,1h 55min,10 December 1981,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
Django Unchained (2012) ,8.4,2h 45min,22 March 2013,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
The Lives of Others (2006) ,8.4,2h 17min,23 March 2006,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
Joker (2019) ,8.5,2h 2min,2 October 2019,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
